,id,product_title,product_description,filename,format,mode,resolution,filesize,retrieved,file_exists,merged_text
291,24520441,Самолет из пенопласта глайдер,Материал игрушки пенопласт; пластик Особенности игрушки съемные детали; led-подсветка; метательный Эффекты световые Комплектация самолетик пенопластовый Страна производства Китай,res/img/24520441.png,PNG,RGBA,"(246, 328)",134.47,2024-05-08 15:03:52.504941056,True,самолет из пенопласта глайдер материал игрушки пенопласт пластик особенности игрушки съемные детали ledподсветка метательный эффекты световые комплектация самолетик пенопластовый страна производства китай
292,140875624,Машинка металлическая детская Mitsubishi Lancer Evolution,Количество предметов в упаковке 1 шт Материал игрушки металл; пластик; резина Особенности игрушки вращение колес; обучающая; открывающиеся части Марка автомобиля Mitsubishi Механизм движения инерционный Эффекты световые; звуковые,res/img/140875624.png,PNG,RGBA,"(246, 328)",113.06,2024-05-08 15:04:00.611013888,True,машинка металлическая детская mitsubishi lancer evolution количество предметов в упаковке 1 шт материал игрушки металл пластик резина особенности игрушки вращение колес обучающая открывающиеся части марка автомобиля mitsubishi механизм движения инерционный эффекты световые звуковые
293,201351839,Развивающая музыкальная интерактивная игрушка бегающий краб,Количество предметов в упаковке 1 шт. Материал игрушки abs-пластик Особенности игрушки обучающая; подвижные элементы; сменные батарейки Механизм движения инерционный Эффекты световые; звуковые; двигательные Масштаб 1:1,res/img/201351839.png,PNG,RGBA,"(246, 328)",143.34,2024-05-08 15:04:09.138513920,True,развивающая музыкальная интерактивная игрушка бегающий краб количество предметов в упаковке 1 шт. материал игрушки absпластик особенности игрушки обучающая подвижные элементы сменные батарейки механизм движения инерционный эффекты световые звуковые двигательные масштаб 1:1
294,65490390,Игрушка детская машинка металлическая Mercedes-AMG GT S 1:36,"Количество предметов в упаковке 1 Материал игрушки Металл, Пластик, Резина Особенности игрушки металлический корпус; масштабная модель; резиновые колеса Марка автомобиля Mercedes-Benz Механизм движения инерционный Эффекты открываются двери; инерционный механизм",res/img/65490390.png,PNG,RGBA,"(246, 328)",40.78,2024-05-08 15:04:17.591326976,True,"игрушка детская машинка металлическая mercedesamg gt s 1:36 количество предметов в упаковке 1 материал игрушки металл, пластик, резина особенности игрушки металлический корпус масштабная модель резиновые колеса марка автомобиля mercedesbenz механизм движения инерционный эффекты открываются двери инерционный механизм"
295,52042626,Автобус инерционный свет/звук,Материал игрушки пластик Страна производства Китай Комплектация автобус,res/img/52042626.png,PNG,RGBA,"(246, 328)",32.21,2024-05-08 15:04:27.457838080,True,автобус инерционный свет/звук материал игрушки пластик страна производства китай комплектация автобус
296,97200175,Железная дорога с электропоездом,"Питание на батарейках Материал изделия ПЛАСТИКОВЫЙ; картон Комплектация 66 деталей Тип локомотива электрический паровозик на батарейках (электровоз); электровоз, скоростной, паровоз, самоходный Тип вагона пассажирский на магнитной сцепке; платформа, грузовой, пассажирский Особенности железной дороги мост, тоннель, эстакада, машины, дорожные знаки; большая интерактивная, городской транспорт; двухуровневая, мост, станция (вокзал), туннель",res/img/97200175.png,PNG,RGBA,"(246, 328)",116.95,2024-05-08 15:04:35.548105984,True,"железная дорога с электропоездом питание на батарейках материал изделия пластиковый картон комплектация 66 деталей тип локомотива электрический паровозик на батарейках (электровоз) электровоз, скоростной, паровоз, самоходный тип вагона пассажирский на магнитной сцепке платформа, грузовой, пассажирский особенности железной дороги мост, тоннель, эстакада, машины, дорожные знаки большая интерактивная, городской транспорт двухуровневая, мост, станция (вокзал), туннель"
297,150743380,Игрушка детская машинка металлическая Mercedes-AMG C63S 1:36,"Количество предметов в упаковке 1 Материал игрушки Металл, Пластик, Резина Особенности игрушки масштабная модель; металлический корпус; резиновые колеса Марка автомобиля Mercedes-Benz Механизм движения инерционный Эффекты инерционный механизм; открываются двери",res/img/150743380.png,PNG,RGBA,"(246, 328)",33.94,2024-05-08 15:04:44.102516992,True,"игрушка детская машинка металлическая mercedesamg c63s 1:36 количество предметов в упаковке 1 материал игрушки металл, пластик, резина особенности игрушки масштабная модель металлический корпус резиновые колеса марка автомобиля mercedesbenz механизм движения инерционный эффекты инерционный механизм открываются двери"
298,88629446,12 Металлических машинок и боксов игрушки для детей,Масштаб 1:64 Страна производства Китай Комплектация 12 металлических машин; 12 боксов; набор машинок,res/img/88629446.png,PNG,RGBA,"(246, 328)",136.97,2024-05-08 15:04:53.168235008,True,12 металлических машинок и боксов игрушки для детей масштаб 1:64 страна производства китай комплектация 12 металлических машин 12 боксов набор машинок
299,183961636,Металлические машинки Роллс-Ройс Куллинан с трейлером,Количество предметов в упаковке 2 шт. Материал игрушки abs-пластик; металл Особенности игрушки подвижные элементы; прорезиненные детали; складной механизм Марка автомобиля Rolls-Royce Механизм движения инерционный Эффекты звуковые; световые,res/img/183961636.png,PNG,RGBA,"(246, 328)",50.7,2024-05-08 15:05:02.219707904,True,металлические машинки роллсройс куллинан с трейлером количество предметов в упаковке 2 шт. материал игрушки absпластик металл особенности игрушки подвижные элементы прорезиненные детали складной механизм марка автомобиля rollsroyce механизм движения инерционный эффекты звуковые световые
300,195779036,Машинка инерционная бугфут монстр трак,Количество предметов в упаковке 1 шт. Материал игрушки пластик Особенности игрушки трюковая; вращение на 360°; перевертыш Марка автомобиля универсальная модель Механизм движения инерционный Масштаб 1:64,res/img/195779036.png,PNG,RGBA,"(246, 328)",129.58,2024-05-08 15:05:10.634628096,True,машинка инерционная бугфут монстр трак количество предметов в упаковке 1 шт. материал игрушки пластик особенности игрушки трюковая вращение на 360° перевертыш марка автомобиля универсальная модель механизм движения инерционный масштаб 1:64
301,31002448,Игрушка детская машинка металлическая фронтальный погрузчик,"Материал игрушки металл, пластик Особенности игрушки металлический корпус; масштабная модель Эффекты открывается капот; двигается в стороны передняя ось; поднимается и сгибается ковш Масштаб 1 : 50 Страна производства Китай Комплектация машинка фронтальный погрузчик",res/img/31002448.png,PNG,RGBA,"(246, 328)",50.05,2024-05-08 15:05:18.985175040,True,"игрушка детская машинка металлическая фронтальный погрузчик материал игрушки металл, пластик особенности игрушки металлический корпус масштабная модель эффекты открывается капот двигается в стороны передняя ось поднимается и сгибается ковш масштаб 1 : 50 страна производства китай комплектация машинка фронтальный погрузчик"
302,110647703,Игрушка детская машинка металлическая лимузин Range Rover,Количество предметов в упаковке 1 шт. Материал игрушки пластик; металл; резина Особенности игрушки масштабная модель; металлический корпус; резиновые колеса Марка автомобиля Land Rover Механизм движения инерционный Эффекты Световые и звуковые эффекты; открываются все двери; капот,res/img/110647703.png,PNG,RGBA,"(246, 328)",56.15,2024-05-08 15:05:27.470172928,True,игрушка детская машинка металлическая лимузин range rover количество предметов в упаковке 1 шт. материал игрушки пластик металл резина особенности игрушки масштабная модель металлический корпус резиновые колеса марка автомобиля land rover механизм движения инерционный эффекты световые и звуковые эффекты открываются все двери капот
303,146883719,Полесье Трактор экскаватор с ковшом,Количество предметов в упаковке 1 шт Материал игрушки гипоаллергенный пластик; abs-пластик; трактор полесье Особенности игрушки Подвижные детали; подвижная стрела и ковш; удобное управление рукоятью Эффекты поворотная платформа; управление ковшом; вездеход большие колеса Страна производства Беларусь Высота предмета 19.5 см,res/img/146883719.png,PNG,RGBA,"(246, 328)",131.02,2024-05-08 15:05:36.478544896,True,полесье трактор экскаватор с ковшом количество предметов в упаковке 1 шт материал игрушки гипоаллергенный пластик absпластик трактор полесье особенности игрушки подвижные детали подвижная стрела и ковш удобное управление рукоятью эффекты поворотная платформа управление ковшом вездеход большие колеса страна производства беларусь высота предмета 19.5 см
304,2421126,Металлическая машинка Пости Робокар Поли,Материал игрушки металл Особенности игрушки вращение колес Страна производства Китай Комплектация машинка - 1 шт Высота предмета 4 см Глубина предмета 4 см,res/img/2421126.png,PNG,RGBA,"(246, 328)",100.4,2024-05-08 15:05:44.846619904,True,металлическая машинка пости робокар поли материал игрушки металл особенности игрушки вращение колес страна производства китай комплектация машинка  1 шт высота предмета 4 см глубина предмета 4 см
305,141006793,Коллекционная машинка металл модель Chevrolet Corvette 1957,Количество предметов в упаковке 1 Материал игрушки металл; пластик; резина Особенности игрушки масштабная модель; металлический корпус; резиновые колеса Эффекты открываются двери и капот Масштаб 1:24 Страна производства Китай,res/img/141006793.png,PNG,RGBA,"(246, 328)",41.27,2024-05-08 15:05:52.871344896,True,коллекционная машинка металл модель chevrolet corvette 1957 количество предметов в упаковке 1 материал игрушки металл пластик резина особенности игрушки масштабная модель металлический корпус резиновые колеса эффекты открываются двери и капот масштаб 1:24 страна производства китай
306,58405040,Игрушка детская машинка металлическая KIA Sportage R 1:39,Количество предметов в упаковке 1 Страна производства Китай Комплектация Металлическая машинка - 1 шт,res/img/58405040.png,PNG,RGBA,"(246, 328)",42.08,2024-05-08 15:06:01.230853120,True,игрушка детская машинка металлическая kia sportage r 1:39 количество предметов в упаковке 1 страна производства китай комплектация металлическая машинка  1 шт
307,166790835,машинки,Количество предметов в упаковке 1 шт. Масштаб 1:32,res/img/166790835.png,PNG,RGBA,"(246, 328)",97.19,2024-05-08 15:06:10.426878976,True,машинки количество предметов в упаковке 1 шт. масштаб 1:32
